District name,State name,gender_ratio,hindu_pct,muslim_pct,christian_pct,sikh_pct,buddhist_pct,youth_pct,working_pct,elderly_pct,pop_log,literacy_rate,literacy_class
Kupwara,JAMMU AND KASHMIR,0.8354541428541302,0.04265850447059472,0.9459208551922551,0.0019532282266755824,0.006434163570225448,7.58312135062285e-05,0.6902467271937626,0.20501428154521034,0.10303738478825857,13.676656453379659,0.667072248763147,Medium
Badgam,JAMMU AND KASHMIR,0.893636585175899,0.013413024298668648,0.9765291975402822,0.0019754691573410105,0.007375173301315431,6.235530583950805e-05,0.6676302993718035,0.21351120073765,0.11804788091463293,13.532810720210115,0.5454085930918281,Low
Leh(Ladakh),JAMMU AND KASHMIR,0.690329361411151,0.1714174413987879,0.14276296568205143,0.004929318959898716,0.008180571890895742,0.6639972431772382,0.5296620644706975,0.31100406781184686,0.15746102616734214,11.801766865141856,0.7555042813157835,Medium
Kargil,JAMMU AND KASHMIR,0.8101433438323584,0.07344355904035454,0.7687319782389455,0.004289711793866564,0.008316643229499581,0.1429383105353617,0.6216673058621326,0.25256033294981606,0.12420278121049418,11.855117029297274,0.7169500433232483,Medium
Punch,JAMMU AND KASHMIR,0.8929610677295265,0.06837585328258203,0.9044617110740613,0.0020090807092600165,0.023463042771608628,0.00017406440382941688,0.6395902146444787,0.23030608071974581,0.12862730294546332,13.074927895238746,0.6559732402193631,Medium
Rajouri,JAMMU AND KASHMIR,0.8601799328798816,0.3453842142540258,0.6271319941159531,0.0015301635235789948,0.024147941751048778,0.0002942023458356358,0.6302826054808808,0.23842064708949823,0.12969653572846213,13.372991347904774,0.6228201396293673,Medium
Kathua,JAMMU AND KASHMIR,0.8902728842196934,0.8761069699157251,0.10420238954634309,0.002965438367386667,0.015493928800279024,3.893354530485777e-05,0.5805380940407342,0.2597565031187392,0.1584660183149886,13.331709784356676,0.70589437653605,Medium
Baramula,JAMMU AND KASHMIR,0.8851258478530407,0.03037680089758432,0.9515356052692405,0.001485061589878963,0.014652210876761712,0.0001388835154195423,0.631447791206491,0.2377477458709435,0.12947217319964802,13.823518409365802,0.6526731604630377,Medium
Bandipore,JAMMU AND KASHMIR,0.8886363636363637,0.021515327663219726,0.9739286952619878,0.0014583205857757653,0.0014149788900446674,0.00011217850659813579,0.6434406167778254,0.2306415590772808,0.12442126088641416,12.879611329949267,0.5827775398233699,Low
Srinagar,JAMMU AND KASHMIR,0.8995291219491218,0.03439440698754638,0.9519036180425912,0.0022201937373719405,0.009853423553296374,0.00023042797347086783,0.5604962367473596,0.28424382028558515,0.15388546031828168,14.02806221266601,0.7491771295789474,Medium
Ganderbal,JAMMU AND KASHMIR,0.8740297379032258,0.01880005110171258,0.9769201804697323,0.001364953638643653,0.0016339100206424024,8.404886937460917e-05,0.6527739488848396,0.22506606241132845,0.1207311579244636,12.602991336836496,0.607545571296975,Medium
Pulwama,JAMMU AND KASHMIR,0.9123467911445964,0.024694882592248946,0.954890800085647,0.001978802369566769,0.016843908357718936,6.245093141103418e-05,0.6113071872100493,0.24450788666048104,0.14294304475055314,13.236479252795903,0.660322246806081,Medium
Shupiyan,JAMMU AND KASHMIR,0.9505788393903869,0.011704825047424075,0.9851548560374134,0.0016114794433071014,0.0006686324962905922,2.2538174032267154e-05,0.6389046447420318,0.22820652480138234,0.1320661871044081,12.492063288320976,0.5978701425539508,Low
Anantnag,JAMMU AND KASHMIR,0.9270374995310549,0.012218501666833536,0.979895095170818,0.0013432935444037779,0.005692078925216837,5.098767766888046e-05,0.6527766962209788,0.22248055978907788,0.12377861335765909,13.891260681049797,0.6873389252910006,Medium
Kulgam,JAMMU AND KASHMIR,0.9505698005698006,0.010052228240000188,0.9849063448948485,0.0010836711953128866,0.0024382601894539944,6.360678755097378e-05,0.6286659300843614,0.23527443973021298,0.13487701509836672,12.958629592621552,0.5872649788095166,Low
Doda,JAMMU AND KASHMIR,0.9188077194920451,0.45768363842160725,0.5381669333749658,0.0011513992428086334,0.0010294289840365326,5.122750868428242e-05,0.6429686585223059,0.22732572889426642,0.1286639865735139,12.923758768337223,0.600998692478826,Medium
Ramban,JAMMU AND KASHMIR,0.9024287208647372,0.28559142513737473,0.7067564757342808,0.0014592211142950798,0.002654090577449747,0.00015156161332050347,0.6644954584386334,0.2171349215580534,0.11709015801179361,12.55572196748209,0.5001568486463434,Low
Kishtwar,JAMMU AND KASHMIR,0.9198269046727416,0.40716353989666054,0.577491590664771,0.001200714360023581,0.0019506189964281998,0.009076880396712558,0.6325684017061414,0.23153847487602733,0.13474009085549815,12.348860440176123,0.561474841349655,Low
